Artis,Judul Lagu,Genre
Taylor Swift,Me!,Pop
Taylor Swift,Blank Space,"Pop, Rock"
Taylor Swift,Shake It Off,"Pop, Rock"
Taylor Swift,Bad Blood,"Pop, Rock"
Taylor Swift,I Knew You Were Trouble,"Pop, Rock"
Justin Bieber,Love Yourself,Pop
Justin Bieber,What Do You Mean,Pop
Justin Bieber,That Should Be Me,Pop
Justin Bieber,As Long As You Love Me,Pop
Justin Bieber,Sorry,Pop
Ed Sheeran,Photograph,Pop
Ed Sheeran,Happier,Pop
Ed Sheeran,Shape of You,Pop
Ed Sheeran,Perfect,Pop
Ed Sheeran,I Don't Care,Pop
Shawn Mendes,Stitches,Pop
Shawn Mendes,Treat You Better,Pop
Shawn Mendes,Youth,"Pop, RnB"
Shawn Mendes,Believe,"Pop, Rock"
Shawn Mendes,Lost In Japan,"Pop, RnB"
Adele,Hello,"Pop, Soul"
Adele,Send My Love,"Pop, RnB"
Adele,Someone Like You,Soul
Adele,When We Were Young,Soul
Adele,Make You Feel My Love,Soul
Wolfgang Amadeus Mozart,Turkish March,Klasik
Wolfgang Amadeus Mozart,Symphony No. 40,Klasik
Wolfgang Amadeus Mozart,Requiem,Klasik
Wolfgang Amadeus Mozart,Serenade,Klasik
Wolfgang Amadeus Mozart,Piano Sonata in B Flat,Klasik
Ludwig Van Beethoven,Moonlight Sonata,Klasik
Ludwig Van Beethoven,Fur Elise,Klasik
Ludwig Van Beethoven,Ode to Joy,Klasik
Ludwig Van Beethoven,Allegro,Klasik
Ludwig Van Beethoven,Pastoral,Klasik
Yiruma,River Flows In You,Klasik
Yiruma,Kiss The Rain,Klasik
Yiruma,Spring Time,Klasik
Yiruma,May Be,Klasik
Yiruma,When the Love Falls,Klasik
Frederic Chopin,Claire de Lune,Klasik
Frederic Chopin,Nocturne,Klasik
Frederic Chopin,Alleggro Maestoso,Klasik
Frederic Chopin,Concerto Pour Piano No. 2,Klasik
Frederic Chopin,Etude Op.10 No.12,Klasik
Antonio Vivaldi,Storm,Klasik
Antonio Vivaldi,Winter,Klasik
Antonio Vivaldi,Autumn,Klasik
Antonio Vivaldi,Presto,Klasik
Antonio Vivaldi,Spring,Klasik
BTS,Dionysis,"KPop, Hip Hop"
BTS,Boy With Luv,"KPop, Pop"
BTS,Anpanman,"KPop, Hip Hop, Pop"
BTS,21st Century Girl,"KPop, RnB"
BTS,Spring Day,"KPop, Hip Hop"
Blackpink,Kill This Love,"KPop, Hip Hop, Rock"
Blackpink,Ddu Ddu Ddu,"KPop, Pop"
Blackpink,As If Its Your Last,"KPop, House"
Blackpink,Forever Young,"KPop, House"
Blackpink,Boombayah,"KPop, House"
Twice,Likey,"KPop, Pop"
Twice,What Is Love,"KPop, Pop"
Twice,Fancy,"KPop, Dance"
Twice,Heart Shaker,"KPop, Dance"
Twice,Knock Knock,"KPop, Pop"
EXO,Love Shot,KPop
EXO,Growl,"KPop, RnB"
EXO,The Eve,"KPop, Pop"
EXO,Ko Ko Bop,"KPop, Pop"
EXO,Tempo,"KPop, Pop, Dance"
Wanna One,Energetic,"KPop, Pop, Dance"
Wanna One,Pick Me,"KPop, Dance"
Wanna One,Wanna,"KPop, Hip Hop, RnB"
Wanna One,Spring Breeze,"KPop, Pop"
Wanna One,Beautiful,"KPop, Pop, Dance"
Rihanna,Umbrella,"RnB, Pop"
Rihanna,Work,"Pop, Hip Hop"
Rihanna,Don't Stop The Music,"Pop, Dance"
Rihanna,Dancing In The Dark,RnB
Rihanna,Never Ending,"Pop, Hip Hop"
Michael Jackson,You Are Not Alone,RnB
Michael Jackson,Man in The Mirror,RnB
Michael Jackson,Heal the World,"RnB, Soul"
Michael Jackson,Black or White,"RnB, Pop, Rock"
Michael Jackson,You Rock My World,"RnB, Pop"
Elvis Presley,Can't Help Falling In Love,Pop
Elvis Presley,Suspicious Mind,"Rock, Country"
Elvis Presley,Love Me Tender,Pop
Elvis Presley,Goodluck Charm,"Pop, Rock"
Elvis Presley,Blue Christmas,Rock
Mariah Carey,Without You,Soul
Mariah Carey,Always be My Baby,"RnB, Pop"
Mariah Carey,All I Want for Christmas Is You,"RnB, Pop"
Mariah Carey,We Belong Together,Pop
Mariah Carey,I Still Believe,"RnB, Pop"
Bruno Mars,Grenade,"RnB, Pop"
Bruno Mars,Billionaire,"Pop, Hip Hop"
Bruno Mars,Talking to The Moon,RnB
Bruno Mars,It Will Rain,"Pop, Soul"
Bruno Mars,Versace on The Floow,RnB
Freddie Mercury,Bohemian Rhapsody,"Rock, Pop"
Freddie Mercury,Don't Stop Me Now,"Rock, Pop"
Freddie Mercury,Crazy Little Thing Called Love,Rock
Freddie Mercury,I Want to Break Free,"Rock, Pop"
Freddie Mercury,Living On My Own,"Rock, Pop"
Paul McCartney,Here Comes The Sun,"Rock, Pop"
Paul McCartney,Yesterday,"Rock, Pop"
Paul McCartney,A Day in Life,"Rock, Pop"
Paul McCartney,Something,"Rock, Pop"
Paul McCartney,I Want to Hold Your Hand,"Rock, Pop"
Mick Jagger,Paint It Black,Rock
Mick Jagger,Jumpin' Jack Flash,Rock
Mick Jagger,Brown Sugar,"Rock, Country"
Mick Jagger,Dancing in The Street,"Rock, Pop, Dance"
Mick Jagger,Like A Rolling Stone,Rock
Jon Bon Jovi,It's My Life,"Rock, Pop"
Jon Bon Jovi,I'll Be There For You,Rock
Jon Bon Jovi,These Ain't Love Song,Rock
Jon Bon Jovi,One Wild Night,Rock
Jon Bon Jovi,Always,"Rock, Pop"
John Lennon,Come Together,Rock
John Lennon,Imagine,"Rock, Pop"
John Lennon,Hey Jude,"Rock, Pop, Country"
John Lennon,Hello Goodbye,"Rock, Pop"
John Lennon,Oh My Love,"Rock, Pop"